topik_match,gaya_match,metode_match,time_overlap,murid_flexible,tutor_flexible,feedback_score,average_rating_tutor,total_jam_ngajar_tutor,pernah_gagal
1,1,1,0,0,0,-1.8333575355446976,0.2726141130868641,1.201971516374306,1
1,1,1,0,0,1,0.2503681311780429,0.6032347252211451,1.348170927158209,0
1,1,1,0,0,1,0.771299547858728,1.49069005252895,-0.5706963393805166,0
1,1,1,0,0,0,-1.8333575355446976,-1.6589063051712998,-0.00417362259289287,1
1,1,1,0,0,1,0.2503681311780429,-1.6067030506237823,-1.6306420675638127,0
1,1,1,0,1,1,0.771299547858728,0.22041085853934572,-0.8265453082523467,0
1,1,1,0,0,1,0.771299547858728,1.5776954767748128,1.7228069172919602,0
1,1,1,0,1,0,0.2503681311780429,0.9164542525062523,-1.0732568139501828,0
1,1,1,0,1,1,0.771299547858728,0.6380368949194897,0.05065115645107072,0
1,1,1,0,0,0,-1.8333575355446976,-0.45823145057838705,-1.457030267257928,1
1,1,1,0,1,0,0.2503681311780429,1.6647009010206757,-1.1737689088641161,0
1,1,1,0,1,0,0.771299547858728,0.7946466585620433,-0.515871560336553,0
1,1,1,0,0,1,0.2503681311780429,0.4640260464277638,1.859868864901869,1
1,1,1,0,1,0,0.771299547858728,-1.3630878627353649,0.5349367046727491,0
1,1,1,0,0,1,0.771299547858728,1.6472998161715036,-0.20519781242075935,0
1,1,1,0,1,1,0.2503681311780429,-1.1368737596961207,-0.6437960447724681,0
0,0,0,0,0,0,-1.8333575355446976,-1.1716759293944659,-1.0732568139501828,1
1,1,1,0,0,1,0.2503681311780429,0.7076412343161803,1.4943703379421118,0
1,1,1,0,0,0,-1.8333575355446976,-1.6241041354729544,1.0557721055904032,1
0,0,0,0,0,1,-1.8333575355446976,0.7946466585620433,-1.4661677304319218,1
0,0,0,0,0,0,-1.8333575355446976,-0.4060281960308687,-1.5575423621718611,1
1,1,1,0,1,0,0.771299547858728,1.6821019858698496,-1.5301299726498794,0
1,1,1,0,0,1,0.2503681311780429,1.5428933070764683,0.6628611891086641,0
1,1,1,0,0,0,-1.8333575355446976,1.716904155568194,1.8415939385538813,1
1,1,1,0,1,0,0.771299547858728,-1.6241041354729544,1.6862570645959845,0
1,1,1,0,1,1,0.2503681311780429,0.06380109489679212,-0.8356827714263406,0
1,1,1,0,1,0,0.2503681311780429,0.37702062218190086,-0.9270574031662799,0
1,1,1,0,1,0,0.771299547858728,-1.049868335450257,0.16943817771299183,0
1,1,1,0,1,1,0.771299547858728,0.16820760399182888,0.004963840581101061,0
1,1,1,0,1,1,0.2503681311780429,-1.6067030506237823,0.04151369327707679,0
1,1,1,0,0,1,0.2503681311780429,-1.0150661657519116,0.004963840581101061,0
1,1,1,0,0,1,0.771299547858728,1.1252672706963243,0.6537237259346702,0
1,1,1,0,0,1,-1.3124261188640125,1.6472998161715036,1.0923219582863788,1
1,1,1,0,1,1,0.2503681311780429,-1.5370987112270915,-0.5432839498585348,0
1,1,1,0,1,0,0.771299547858728,1.3514813737355686,-0.8356827714263406,0
1,1,1,0,0,1,0.771299547858728,1.5254922222272944,0.9552600106764699,0
1,1,1,0,1,0,0.2503681311780429,1.716904155568194,1.8415939385538813,0
1,1,1,0,1,1,0.771299547858728,1.716904155568194,1.631432285552021,0
1,1,1,0,1,1,0.2503681311780429,0.0812021797459644,1.4486830220721423,0
